APP_LOG: 2024/12/04 14:14:17 logger.go:32: Method: PATCH, Path: /products/1, Status: 200, Duration: 9.1559ms
APP_LOG: 2024/12/04 14:14:36 logger.go:32: Method: GET, Path: /users/profile, Status: 200, Duration: 694.6µs
APP_LOG: 2024/12/04 14:14:36 logger.go:32: Method: GET, Path: /products, Status: 200, Duration: 1.7057ms
APP_LOG: 2024/12/04 14:14:36 logger.go:32: Method: GET, Path: /categories, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:14:39 logger.go:32: Method: GET, Path: /users/profile, Status: 200, Duration: 766.4µs
APP_LOG: 2024/12/04 14:14:39 logger.go:32: Method: GET, Path: /products, Status: 200, Duration: 797.9µs
APP_LOG: 2024/12/04 14:14:39 logger.go:32: Method: GET, Path: /categories, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:14:42 logger.go:32: Method: GET, Path: /users/profile, Status: 200, Duration: 834.3µs
APP_LOG: 2024/12/04 14:14:42 logger.go:32: Method: GET, Path: /products, Status: 200, Duration: 121.3µs
APP_LOG: 2024/12/04 14:14:42 logger.go:32: Method: GET, Path: /categories, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:15:13 logger.go:32: Method: GET, Path: /users/profile, Status: 200, Duration: 2.0825ms
APP_LOG: 2024/12/04 14:15:13 logger.go:32: Method: GET, Path: /products, Status: 200, Duration: 7.502ms
APP_LOG: 2024/12/04 14:15:13 logger.go:32: Method: GET, Path: /categories, Status: 200, Duration: 618.8µs
APP_LOG: 2024/12/04 14:15:15 logger.go:32: Method: GET, Path: /users/profile, Status: 200, Duration: 820.7µs
APP_LOG: 2024/12/04 14:15:15 logger.go:32: Method: GET, Path: /categories, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:15:15 logger.go:32: Method: GET, Path: /products, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:15:16 logger.go:32: Method: GET, Path: /users/profile, Status: 200, Duration: 252.1µs
APP_LOG: 2024/12/04 14:15:16 logger.go:32: Method: GET, Path: /categories, Status: 200, Duration: 0s
APP_LOG: 2024/12/04 14:15:16 logger.go:32: Method: GET, Path: /products, Status: 200, Duration: 197.7µs
APP_LOG: 2024/12/04 14:15:27 logger.go:32: Method: GET, Path: /users/profile, Status: 200, Duration: 1.4101ms
APP_LOG: 2024/12/04 14:15:27 logger.go:32: Method: GET, Path: /products, Status: 200, Duration: 1.6043ms
APP_LOG: 2024/12/04 14:15:27 logger.go:32: Method: GET, Path: /categories, Status: 200, Duration: 538.8µs
